label,features
0,"0.031594993633213456,0.9869877579082642"
1,"2.115097840005998,-0.04624396793368002"
0,"0.8824897202429526,-0.07575605515192824"
1,"-0.05514410395493309,-0.03733245922211456"
1,"0.8295450281029343,-0.5393214930366995"
1,"2.112857076342866,0.6620835334836002"
0,"0.5696926997602635,0.33744135752913684"
1,"0.9521745361967547,-0.7530747091382108"
1,"-0.029221145736673143,0.3928733563262766"
1,"1.7157955733793964,0.3606945394211044"
1,"-0.2788301416383404,0.6142053862138132"
1,"2.00344508668566,-0.3091496039347519"
1,"1.5000961594814137,-0.7463637596324144"
0,"1.2254083492697045,1.1979301686740846"
0,"0.4673081934172612,0.5470319224500304"
0,"-0.36653222317639494,1.119716334184673"
0,"0.3012445942883551,1.2331569713300374"
0,"0.30430746270370695,0.8237393538028818"
0,"-0.23712491563950083,0.778760335469834"
0,"1.1633983178077336,0.5529023837343671"
0,"-0.5970241655451736,0.6572360991187756"
1,"0.4635673501248081,-0.195154298389205"
0,"0.6845111142379667,0.7528768522591496"
1,"0.7051569889057123,-0.4589244400760628"
0,"-0.6580500787381698,-0.12944211219823631"
0,"-0.746629463206858,-0.3829632037287942"
0,"0.6058522563968107,0.31252841966998635"
1,"2.1813716830490253,-0.022917469276894753"
1,"1.919806334070562,0.17247328896340242"
1,"1.4834364020743789,-0.10517023149846338"
1,"0.47404722604781996,-0.14575067196362812"
1,"1.0561460467688328,-1.0357020680498332"
1,"1.865007322962233,-0.011078737347192516"
1,"0.41947210215169756,-0.3247810115072367"
1,"0.06873257777127617,0.5664846702876994"
0,"-0.17332432476326556,1.0021513076857296"
0,"0.12412420648128769,1.0006289185760988"
1,"0.18121142278818408,0.24717743090960537"
1,"-0.2545155930677909,0.1931727159301121"
1,"1.025806681391205,-0.6257456623273743"
0,"1.5200214310317168,-0.04515581275373087"
1,"0.6417403675063451,-0.39369468370639576"
0,"-0.8761558871630455,0.046566202513465105"
0,"-1.069649973668144,0.13666024731616316"
0,"1.0265876544828723,0.37782457690227467"
0,"0.9313132543149979,1.385178411971549"
0,"0.6768054363547378,1.5718993127141032"
0,"-0.36885733097325313,0.7288660141702618"
0,"-1.0246549549067154,0.16190214636642664"
0,"0.7745538478844521,0.15375803209412348"
1,"1.4045116008147969,-0.00705700513831449"
1,"-0.38147174216725455,-0.23488746653490064"
0,"0.7215522446289362,0.447216575087707"
0,"-0.5134668595395712,0.6786909545326081"
0,"0.3211854615031241,0.2866866685419984"
1,"0.19536280375270595,0.1608510651493314"
0,"0.5282419616404991,0.983009931544712"
0,"-0.22165389689435605,0.2516013870512852"
0,"0.22334676355617628,1.3221718264805824"
1,"-0.10704571812268296,0.5617832625636306"
0,"0.6365168516040098,0.7544482523438969"
0,"-0.3722784784934399,0.9929131660820307"
1,"0.20718083265981707,-0.0976714273989191"
1,"0.1273314190904385,-0.37965489671189484"
1,"0.7143523082580422,-0.799941612146002"
1,"1.094878136347055,-0.36841844821907443"
0,"-0.14814362283282412,0.9615865686187115"
1,"1.586187998577997,-0.6298451656162283"
0,"0.7444455063252204,0.5766137068632283"
1,"2.1801102777300736,-0.699777507780252"
0,"0.2457559354815964,0.8496383011786972"
0,"-0.9500358136002063,0.9036169893360139"
0,"-0.8823075833032377,0.07249044196648242"
1,"2.0229707875067526,0.12325148232449507"
1,"2.1457732101750753,0.4629636173144291"
1,"0.3553646839272794,-0.6784798863681882"
0,"0.34665025884741507,1.115706761193445"
1,"1.7392373006108919,0.45900352420145013"
1,"0.6385646696350307,-0.44718443416511544"
1,"1.2876687011345485,-0.4910366009324705"
0,"-0.1377260693484619,1.2453261987125588"
0,"-0.5617530312161083,1.0548605100608779"
1,"1.2900374790980524,-0.206914047504865"
0,"-0.8753936535485004,0.5054342299267167"
0,"-0.9285824919481817,-0.4563199052393644"
1,"0.02493632078646507,0.1074795833868682"
1,"0.19725589918348185,-0.06801667981997078"
0,"0.7334605649545698,0.2816192880885117"
1,"1.6829443382714295,-0.20204230317276864"
1,"0.5076412403964466,-0.11731979334752535"
1,"1.6676021747551528,-0.42485665227173697"
0,"-0.8217228210436642,0.6314106629162008"
0,"0.3017090266430521,0.7860353394551198"
1,"1.3767150470581093,-0.8091510741803736"
0,"1.17037550831432,0.5984065269053864"
1,"1.6994530943264532,0.5877196698165861"
1,"0.2186232335250059,-0.6525211867631453"
1,"0.9529142847496186,-0.4197656395767486"
0,"-1.318500344394381,0.4231123496153354"
0,"-1.2968176444425201,0.18414709023079687"
1,"-0.3828911738602102,-0.09084004237811005"
1,"-0.020962290601187344,-0.4778741558510644"
0,"-0.3961159621497808,-1.2894269424127711"
1,"-0.6181301837811659,-0.0638371502267106"
1,"0.7034783759088519,-0.1870383680999883"
0,"-0.4597046341500668,0.6947746536502913"
0,"-0.4509168151319991,-0.7157052357026995"
1,"-0.4556200447837268,-0.13406015612956912"
1,"-0.2651390428962208,0.40812871348811985"
1,"-0.15474647887981452,0.41406973305045425"
1,"0.23120599763029986,-0.532758992931203"
0,"0.15623875386673425,-0.867808795914638"
1,"0.5164754088213728,0.4894099515623507"
1,"0.6870700669548218,-0.023341292713496165"
1,"0.5475986850653907,-0.16482372881636392"
0,"-0.3217957207127715,-0.8055353563951547"
0,"-1.0747863918525462,-0.7333620008863706"
0,"0.7675845492733637,-0.4349878312955713"
1,"-0.47475234369633545,-0.33813186010578744"
0,"0.1542065566257118,1.0730603182233371"
0,"0.659166959340086,0.20773634136689567"
1,"-0.7779500271637578,0.13265549856712408"
1,"0.4702545410708355,-0.31228747539191165"
1,"-0.04246799088786084,0.26555446062951643"
0,"-0.7240595430250985,0.4880718549196249"
0,"-0.36960005491802106,-1.065140282112973"
1,"0.17833327382491415,-0.497189724153127"
0,"-0.9392786432969638,-0.4195163753548515"
0,"0.5091415177797766,-0.709774667513856"
0,"-0.05569852006012617,-0.8216260724131693"
1,"-0.11214578925342444,0.7219704398744609"
1,"0.8046392140975882,-0.15221295520700764"
1,"0.08261487280609237,-0.11749020975785346"
1,"0.20349541150016884,-0.3739678935557312"
1,"0.1386469331887234,-0.23905642133907568"
0,"0.3278530715455695,-1.0076903733344404"
0,"0.8894406123385017,-0.3911762808785548"
1,"-0.05837947262909021,0.28487038674768583"
0,"-1.067365296106876,0.2204005982162877"
0,"-0.6007134457729655,-0.6954518933410471"
1,"-0.03972324037760179,-0.409360559363557"
1,"0.3974208510485954,0.20621162362126627"
1,"-0.36941153671892757,0.0129811032682903"
0,"0.03573702759174757,0.46666228724398856"
1,"-0.5681499890870698,-0.4128841892948302"
0,"0.41047299140970195,-0.7364086765512785"
0,"0.8824970659226714,-0.6900440415525347"
1,"0.0657982173579039,-0.5045839482894733"
0,"-0.7573722298764056,-0.07240280057904841"
1,"0.18316966141769753,0.08722006644173715"
0,"0.6724831385082246,-0.41892665088451797"
1,"0.25898723139363844,0.3968864517685565"
0,"-1.131298296892088,0.48106140059772023"
0,"1.059284404233769,0.6449028673879387"
1,"0.4101966268999729,0.38790198329122616"
0,"0.9514202917293155,-0.04089982645716697"
0,"-0.6049298779492367,0.4395090642176295"
1,"0.233147615777319,-0.8178571103935093"
0,"0.9106733145141467,0.30702075423078923"
1,"-0.45026471820931097,-0.03724103905968393"
0,"-0.813961210610398,-0.6473395934969226"
1,"-0.23191338446183205,0.5053399243940082"
1,"-0.597609825001288,0.2802316809234397"
0,"0.7396016572034366,-0.8427028053995542"
0,"0.5729465935036954,-0.31198927615509703"
1,"0.24821132547686414,-0.5478450903300359"
0,"0.5212780193736284,0.9410800532390149"
1,"0.33973198426181295,0.10609978464374031"
0,"1.0533903575340164,-0.021975928620292025"
1,"0.013274658680419826,-0.6337950167400367"
1,"0.24225890224575336,0.4903206374725526"
0,"-0.8926661173065931,0.6345075979165555"
1,"0.16725660369379786,0.23548461612261667"
1,"-0.05611704670612876,0.38834099212524015"
0,"0.8469548600275456,0.814358109812106"
1,"0.2997619526162535,-0.0794303073527122"
0,"-0.14047620434607405,0.7248603242634668"
1,"-0.05482024060525886,0.1841732833343767"
1,"-0.24643884474325062,-0.43283336770228154"
0,"-0.23460645408786962,0.6409441977220394"
0,"-1.1318489313792643,-0.619649423721805"
0,"-0.9241382098445176,-0.4530208919773015"
0,"0.22257450462818917,0.7705259659342518"
0,"-0.6945376523420368,0.5301414731009287"
0,"-1.0362508995101394,0.7733996472325202"
1,"0.5188058511368855,0.3015223208297168"
0,"-0.7742954098262426,0.02553766931152209"
0,"0.7146832644296318,0.5686901478327924"
1,"-0.3387527378078335,0.4682606327836119"
1,"-0.3474924425636272,0.134414176129039"
0,"1.1298079636035776,0.042819362603102304"
0,"-0.3830897937264844,0.7911681228258918"
1,"-0.07425140597242434,0.21846249828330105"
1,"-0.44945202480826835,-0.05722265738641827"
0,"0.8578328755550748,0.6377888778176595"
1,"-0.4748620338912356,-0.22498112207930748"
0,"0.12627243323654763,0.8697841238487513"
1,"-0.6473645756890736,-0.3634243739531915"
0,"0.4744045874153203,1.0110158458654797"
0,"-0.38565772128025644,-0.8103118329773688"
1,"-0.17749657798985585,0.9304962660386675"
0,"1.9774240587199148,1.7661552934856464"
0,"1.8000237939203405,1.7003427971853735"
1,"-0.7708368567582637,2.3591634832746786"
1,"-0.3080090137780034,1.594063156240643"
1,"0.6147214057742915,2.434898235370948"
0,"1.0909431010351123,2.216634021089654"
1,"-0.83488954133101,2.358688750248904"
0,"2.479464994607871,1.334189672185075"
1,"1.1992659741742953,1.8268139228780294"
0,"2.185061835186317,0.822687496928319"
0,"1.6842320260659658,1.041131097355358"
0,"1.1462113486795387,2.0704852679270136"
0,"1.3559694517920446,0.5680249816835929"
0,"1.3852074804225691,1.8260723848465799"
0,"1.8672921665526914,1.1869269902115138"
1,"0.31227375601052365,2.24605353229805"
1,"-0.08183483649778811,1.700655112374142"
1,"0.9048447162452653,2.6068301607341056"
1,"-0.43586089762855607,2.015141400218766"
1,"0.8144119636882039,2.1354678438212744"
0,"3.1087431161656847,2.2678650436499543"
1,"-0.25574216945007544,1.7128114560673708"
0,"1.8866302705309965,2.720895134840622"
0,"2.295035469724569,3.8926775871826447"
1,"-0.11415626240260135,0.8559335743499961"
0,"1.697035367840272,3.4771779882342826"
0,"1.8385577515397538,0.9266721259907292"
0,"1.6029880716569926,1.301843598872432"
1,"1.1380321501574726,2.829550071364288"
1,"0.57002737933431,1.82202468986641"
1,"0.25130171896241515,1.3222504816438538"
1,"-0.3983307826628607,1.984344997008686"
0,"1.6291326039770662,0.8816818237799028"
0,"3.105035853801515,1.7400063297411137"
1,"-0.005668735947146342,1.120390406582787"
0,"1.3686655716305718,2.1396443764353963"
0,"2.6983996124810683,3.549323823792247"
0,"2.0017083780279323,1.0986231390121226"
0,"2.4362770838317953,1.4376947562715423"
1,"-0.3099693757090294,0.9125644420984649"
1,"0.085281478474863,1.722860964695665"
0,"2.0623580346432986,1.603515287454767"
0,"1.6102698433368947,2.068993077936324"
1,"1.3987591410015345,0.692950335499461"
0,"1.6841719521215748,1.0549907580303004"
1,"0.6032636952024525,2.1862505642408894"
1,"-0.8009040540807353,1.8987399878873554"
0,"2.286229055698735,2.0048519889470047"
1,"-1.0810773756163856,2.775077844910318"
1,"0.6731464992893574,1.0837445325462065"
0,"2.969705764781014,2.123229129246613"
1,"0.6795066838796897,2.098642739513909"
1,"-0.44781176609408013,3.184203720390455"
1,"-0.5003385420029125,2.021055306383068"
0,"1.8530711770600947,3.6661249563419993"
0,"1.7218642368577772,1.7805587417298834"
0,"2.2503348318788525,3.121431119277734"
1,"0.313569079609217,1.351279486529371"
1,"-0.2841069052814207,1.8572730448047552"
0,"2.129156564328551,2.584631266530067"
0,"1.5764227031029465,2.019872822311515"
1,"-1.078195491779146,1.4014740505323453"
0,"1.1976811880395666,2.402490745788781"
0,"1.3769011213670639,1.1498584157984593"
1,"-1.6600648846990849,1.463134737166496"
0,"1.2439001149222035,1.460046281048402"
0,"1.8792230470465596,1.7226231417045332"
0,"2.908507911078423,2.9415914507372634"
1,"-0.48122612916294794,1.7914376199084705"
0,"2.437430404747939,1.3453533145952932"
0,"2.565798740945202,0.9933435817717287"
0,"2.448992408843662,2.4907272674909597"
1,"0.46034246881158336,0.6840261153626066"
1,"-0.39068268036570386,2.132233005519266"
1,"-1.2667659441595678,1.1560638132394097"
0,"1.4188269388511645,2.5715452676876254"
1,"-0.5676043617011624,0.9901022939191342"
1,"-1.8017374470702352,1.2314913235323917"
1,"0.18035906060522677,1.255877974195551"
0,"2.852717658438678,1.8452056050559669"
0,"1.8458872340579413,1.1508373341628908"
0,"2.233285696103223,3.152813902136283"
1,"-0.5501804398209573,1.081691471630427"
1,"-0.7908902086462197,1.6508552139868806"
1,"-0.1319932910875936,1.9400779565060242"
0,"0.7025725688316544,1.3570129616004984"
1,"0.27672154685873107,2.6729866818015555"
1,"0.6102158686229844,2.165148599216429"
1,"-0.530003675411888,2.019431636896687"
0,"1.8372788777639675,2.111012897719438"
1,"0.2841601916945833,2.6449296372611846"
0,"1.8968837894412718,2.2604469304724004"
0,"2.068136134818725,2.6101669046051574"
1,"-1.722741267563607,1.27907652155484"
0,"2.632381606575673,1.2713050760284923"
1,"-0.0402557387895528,1.7827080971723568"
1,"-0.7874531842525254,1.4003568848786787"
0,"2.7024411564736015,1.5874435801318012"
1,"1.290969301992858,2.7519367300551325"